window,group_id,group_name,W_max_mbps,util_no_contention,util_with_contention,congestion_event,R_ij_degradation,lat_no_ms,lat_with_ms,viol_no,viol_with,q_net_no,q_net_with
35,1,Cloud Egress,300.0,1.2655,1.0,1,0.7902,2113.9,2287.6,0.1859,0.3813,0.681,2.201
35,2,Cross-Region WAN,500.0,1.1687,1.0,1,0.8556,2113.9,2287.6,0.1859,0.3813,0.681,2.201
36,0,Region-A Backhaul,400.0,0.769,0.769,0,1.0,2152.7,2152.7,0.1695,0.1695,0.486,0.486
36,1,Cloud Egress,300.0,0.971,0.971,0,1.0,2152.7,2152.7,0.1695,0.1695,0.486,0.486
36,2,Cross-Region WAN,500.0,0.7895,0.7895,0,1.0,2152.7,2152.7,0.1695,0.1695,0.486,0.486
37,0,Region-A Backhaul,400.0,0.4811,0.4811,0,1.0,2077.5,2108.8,0.1781,0.2133,0.519,0.793
37,1,Cloud Egress,300.0,0.9335,0.9335,0,1.0,2077.5,2108.8,0.1781,0.2133,0.519,0.793
37,2,Cross-Region WAN,500.0,1.0784,1.0,1,0.9273,2077.5,2108.8,0.1781,0.2133,0.519,0.793
38,0,Region-A Backhaul,400.0,0.5424,0.5424,0,1.0,2069.4,2069.4,0.2031,0.2031,0.503,0.503
38,1,Cloud Egress,300.0,0.9556,0.9556,0,1.0,2069.4,2069.4,0.2031,0.2031,0.503,0.503
38,2,Cross-Region WAN,500.0,0.9263,0.9263,0,1.0,2069.4,2069.4,0.2031,0.2031,0.503,0.503
39,0,Region-A Backhaul,400.0,0.7255,0.7255,0,1.0,2110.6,2148.2,0.1746,0.2169,0.53,0.858
39,1,Cloud Egress,300.0,0.6676,0.6676,0,1.0,2110.6,2148.2,0.1746,0.2169,0.53,0.858
39,2,Cross-Region WAN,500.0,1.0939,1.0,1,0.9141,2110.6,2148.2,0.1746,0.2169,0.53,0.858
40,0,Region-A Backhaul,400.0,0.8049,0.8049,0,1.0,2121.6,2121.6,0.2,0.2,0.46,0.46
40,1,Cloud Egress,300.0,0.7522,0.7522,0,1.0,2121.6,2121.6,0.2,0.2,0.46,0.46
40,2,Cross-Region WAN,500.0,0.8105,0.8105,0,1.0,2121.6,2121.6,0.2,0.2,0.46,0.46
41,0,Region-A Backhaul,400.0,0.7645,0.7645,0,1.0,2111.2,2111.2,0.1647,0.1647,0.506,0.506
41,1,Cloud Egress,300.0,0.8319,0.8319,0,1.0,2111.2,2111.2,0.1647,0.1647,0.506,0.506
41,2,Cross-Region WAN,500.0,0.8462,0.8462,0,1.0,2111.2,2111.2,0.1647,0.1647,0.506,0.506
42,0,Region-A Backhaul,400.0,0.7688,0.7688,0,1.0,2060.3,2060.3,0.1945,0.1945,0.464,0.464
42,1,Cloud Egress,300.0,0.55,0.55,0,1.0,2060.3,2060.3,0.1945,0.1945,0.464,0.464
42,2,Cross-Region WAN,500.0,0.8707,0.8707,0,1.0,2060.3,2060.3,0.1945,0.1945,0.464,0.464
43,0,Region-A Backhaul,400.0,0.7932,0.7932,0,1.0,2109.8,2109.8,0.2109,0.2109,0.485,0.485
43,1,Cloud Egress,300.0,0.775,0.775,0,1.0,2109.8,2109.8,0.2109,0.2109,0.485,0.485
43,2,Cross-Region WAN,500.0,0.8589,0.8589,0,1.0,2109.8,2109.8,0.2109,0.2109,0.485,0.485
44,0,Region-A Backhaul,400.0,0.7026,0.7026,0,1.0,2079.4,2079.4,0.1405,0.1405,0.378,0.378
44,1,Cloud Egress,300.0,0.8565,0.8565,0,1.0,2079.4,2079.4,0.1405,0.1405,0.378,0.378
44,2,Cross-Region WAN,500.0,0.5105,0.5105,0,1.0,2079.4,2079.4,0.1405,0.1405,0.378,0.378
45,0,Region-A Backhaul,400.0,0.8443,0.8443,0,1.0,2128.7,2128.7,0.1707,0.1707,0.489,0.489
45,1,Cloud Egress,300.0,0.9982,0.9982,0,1.0,2128.7,2128.7,0.1707,0.1707,0.489,0.489
45,2,Cross-Region WAN,500.0,0.5786,0.5786,0,1.0,2128.7,2128.7,0.1707,0.1707,0.489,0.489
46,0,Region-A Backhaul,400.0,0.922,0.922,0,1.0,2121.2,2121.2,0.1954,0.1954,0.424,0.424
46,1,Cloud Egress,300.0,0.8858,0.8858,0,1.0,2121.2,2121.2,0.1954,0.1954,0.424,0.424
46,2,Cross-Region WAN,500.0,0.5146,0.5146,0,1.0,2121.2,2121.2,0.1954,0.1954,0.424,0.424
47,0,Region-A Backhaul,400.0,1.1429,1.0,1,0.875,2088.5,2145.7,0.1813,0.2456,0.511,1.011
47,1,Cloud Egress,300.0,0.9514,0.9514,0,1.0,2088.5,2145.7,0.1813,0.2456,0.511,1.011
47,2,Cross-Region WAN,500.0,0.4563,0.4563,0,1.0,2088.5,2145.7,0.1813,0.2456,0.511,1.011
48,0,Region-A Backhaul,400.0,1.085,1.0,1,0.9217,2099.2,2205.7,0.1917,0.3116,0.645,1.578
48,1,Cloud Egress,300.0,1.1814,1.0,1,0.8464,2099.2,2205.7,0.1917,0.3116,0.645,1.578
48,2,Cross-Region WAN,500.0,0.7742,0.7742,0,1.0,2099.2,2205.7,0.1917,0.3116,0.645,1.578
49,0,Region-A Backhaul,400.0,0.8466,0.8466,0,1.0,2085.5,2152.9,0.1741,0.25,0.515,1.105
49,1,Cloud Egress,300.0,1.1685,1.0,1,0.8558,2085.5,2152.9,0.1741,0.25,0.515,1.105
49,2,Cross-Region WAN,500.0,0.5767,0.5767,0,1.0,2085.5,2152.9,0.1741,0.25,0.515,1.105
50,0,Region-A Backhaul,400.0,1.0971,1.0,1,0.9115,2110.4,2203.5,0.1866,0.2912,0.562,1.376
50,1,Cloud Egress,300.0,1.1356,1.0,1,0.8806,2110.4,2203.5,0.1866,0.2912,0.562,1.376
50,2,Cross-Region WAN,500.0,0.3505,0.3505,0,1.0,2110.4,2203.5,0.1866,0.2912,0.562,1.376
51,0,Region-A Backhaul,400.0,0.9975,0.9975,0,1.0,2135.9,2169.5,0.1822,0.22,0.625,0.919
51,1,Cloud Egress,300.0,1.084,1.0,1,0.9225,2135.9,2169.5,0.1822,0.22,0.625,0.919
51,2,Cross-Region WAN,500.0,0.6762,0.6762,0,1.0,2135.9,2169.5,0.1822,0.22,0.625,0.919
52,0,Region-A Backhaul,400.0,0.9348,0.9348,0,1.0,2087.4,2087.4,0.206,0.206,0.604,0.604
52,1,Cloud Egress,300.0,0.8977,0.8977,0,1.0,2087.4,2087.4,0.206,0.206,0.604,0.604
52,2,Cross-Region WAN,500.0,0.8782,0.8782,0,1.0,2087.4,2087.4,0.206,0.206,0.604,0.604
53,0,Region-A Backhaul,400.0,1.0507,1.0,1,0.9517,2124.6,2144.9,0.1896,0.2124,0.582,0.759
53,1,Cloud Egress,300.0,0.8975,0.8975,0,1.0,2124.6,2144.9,0.1896,0.2124,0.582,0.759
53,2,Cross-Region WAN,500.0,0.77,0.77,0,1.0,2124.6,2144.9,0.1896,0.2124,0.582,0.759
54,0,Region-A Backhaul,400.0,1.0544,1.0,1,0.9484,2098.7,2120.5,0.1911,0.2156,0.491,0.682
54,1,Cloud Egress,300.0,0.82,0.82,0,1.0,2098.7,2120.5,0.1911,0.2156,0.491,0.682
54,2,Cross-Region WAN,500.0,0.4658,0.4658,0,1.0,2098.7,2120.5,0.1911,0.2156,0.491,0.682
55,0,Region-A Backhaul,400.0,0.9918,0.9918,0,1.0,2092.2,2092.2,0.1776,0.1776,0.459,0.459
55,1,Cloud Egress,300.0,0.658,0.658,0,1.0,2092.2,2092.2,0.1776,0.1776,0.459,0.459
55,2,Cross-Region WAN,500.0,0.6699,0.6699,0,1.0,2092.2,2092.2,0.1776,0.1776,0.459,0.459
56,0,Region-A Backhaul,400.0,0.7286,0.7286,0,1.0,2109.3,2109.3,0.1762,0.1762,0.544,0.544
56,1,Cloud Egress,300.0,0.8878,0.8878,0,1.0,2109.3,2109.3,0.1762,0.1762,0.544,0.544
56,2,Cross-Region WAN,500.0,0.9774,0.9774,0,1.0,2109.3,2109.3,0.1762,0.1762,0.544,0.544
57,0,Region-A Backhaul,400.0,0.7456,0.7456,0,1.0,2086.1,2086.1,0.1772,0.1772,0.444,0.444
57,1,Cloud Egress,300.0,0.7582,0.7582,0,1.0,2086.1,2086.1,0.1772,0.1772,0.444,0.444
57,2,Cross-Region WAN,500.0,0.7632,0.7632,0,1.0,2086.1,2086.1,0.1772,0.1772,0.444,0.444
58,0,Region-A Backhaul,400.0,0.7837,0.7837,0,1.0,2098.2,2098.2,0.1921,0.1921,0.525,0.525
58,1,Cloud Egress,300.0,0.6374,0.6374,0,1.0,2098.2,2098.2,0.1921,0.1921,0.525,0.525
58,2,Cross-Region WAN,500.0,0.9836,0.9836,0,1.0,2098.2,2098.2,0.1921,0.1921,0.525,0.525
59,0,Region-A Backhaul,400.0,0.8333,0.8333,0,1.0,2082.1,2115.3,0.1774,0.2148,0.594,0.885
59,1,Cloud Egress,300.0,0.8962,0.8962,0,1.0,2082.1,2115.3,0.1774,0.2148,0.594,0.885
59,2,Cross-Region WAN,500.0,1.083,1.0,1,0.9233,2082.1,2115.3,0.1774,0.2148,0.594,0.885
60,0,Region-A Backhaul,400.0,0.6443,0.6443,0,1.0,2161.1,2161.1,0.1902,0.1902,0.492,0.492
60,1,Cloud Egress,300.0,0.8225,0.8225,0,1.0,2161.1,2161.1,0.1902,0.1902,0.492,0.492
60,2,Cross-Region WAN,500.0,0.8891,0.8891,0,1.0,2161.1,2161.1,0.1902,0.1902,0.492,0.492
61,0,Region-A Backhaul,400.0,0.6796,0.6796,0,1.0,2112.9,2165.7,0.2224,0.2818,0.646,1.109
61,1,Cloud Egress,300.0,1.0882,1.0,1,0.919,2112.9,2165.7,0.2224,0.2818,0.646,1.109
61,2,Cross-Region WAN,500.0,1.0439,1.0,1,0.9579,2112.9,2165.7,0.2224,0.2818,0.646,1.109
62,0,Region-A Backhaul,400.0,0.5835,0.5835,0,1.0,2094.5,2174.2,0.2007,0.2904,0.462,1.159
62,1,Cloud Egress,300.0,1.1994,1.0,1,0.8338,2094.5,2174.2,0.2007,0.2904,0.462,1.159
62,2,Cross-Region WAN,500.0,0.6192,0.6192,0,1.0,2094.5,2174.2,0.2007,0.2904,0.462,1.159
63,0,Region-A Backhaul,400.0,0.6004,0.6004,0,1.0,2117.3,2136.2,0.1791,0.2004,0.541,0.707
63,1,Cloud Egress,300.0,1.0472,1.0,1,0.955,2117.3,2136.2,0.1791,0.2004,0.541,0.707
63,2,Cross-Region WAN,500.0,0.9366,0.9366,0,1.0,2117.3,2136.2,0.1791,0.2004,0.541,0.707
64,0,Region-A Backhaul,400.0,0.8802,0.8802,0,1.0,2109.2,2218.3,0.2066,0.3294,0.716,1.671
64,1,Cloud Egress,300.0,1.2351,1.0,1,0.8096,2109.2,2218.3,0.2066,0.3294,0.716,1.671
64,2,Cross-Region WAN,500.0,1.0376,1.0,1,0.9637,2109.2,2218.3,0.2066,0.3294,0.716,1.671
65,0,Region-A Backhaul,400.0,0.992,0.992,0,1.0,2106.5,2167.2,0.1777,0.246,0.644,1.175
65,1,Cloud Egress,300.0,1.1518,1.0,1,0.8682,2106.5,2167.2,0.1777,0.246,0.644,1.175
65,2,Cross-Region WAN,500.0,0.8776,0.8776,0,1.0,2106.5,2167.2,0.1777,0.246,0.644,1.175
66,0,Region-A Backhaul,400.0,0.8714,0.8714,0,1.0,2127.4,2278.9,0.1483,0.3188,0.765,2.091
66,1,Cloud Egress,300.0,1.1315,1.0,1,0.8838,2127.4,2278.9,0.1483,0.3188,0.765,2.091
66,2,Cross-Region WAN,500.0,1.2475,1.0,1,0.8016,2127.4,2278.9,0.1483,0.3188,0.765,2.091
67,0,Region-A Backhaul,400.0,1.0511,1.0,1,0.9514,2130.9,2213.6,0.1669,0.2598,0.647,1.37
67,1,Cloud Egress,300.0,1.1554,1.0,1,0.8655,2130.9,2213.6,0.1669,0.2598,0.647,1.37
67,2,Cross-Region WAN,500.0,0.7744,0.7744,0,1.0,2130.9,2213.6,0.1669,0.2598,0.647,1.37
68,0,Region-A Backhaul,400.0,1.0207,1.0,1,0.9797,2098.7,2107.0,0.1513,0.1606,0.597,0.669
68,1,Cloud Egress,300.0,0.8497,0.8497,0,1.0,2098.7,2107.0,0.1513,0.1606,0.597,0.669
68,2,Cross-Region WAN,500.0,0.8599,0.8599,0,1.0,2098.7,2107.0,0.1513,0.1606,0.597,0.669
69,0,Region-A Backhaul,400.0,0.9386,0.9386,0,1.0,2097.6,2097.6,0.1787,0.1787,0.521,0.521
69,1,Cloud Egress,300.0,0.7153,0.7153,0,1.0,2097.6,2097.6,0.1787,0.1787,0.521,0.521
69,2,Cross-Region WAN,500.0,0.8806,0.8806,0,1.0,2097.6,2097.6,0.1787,0.1787,0.521,0.521
70,0,Region-A Backhaul,400.0,1.0871,1.0,1,0.9199,2105.1,2140.7,0.1853,0.2253,0.631,0.942
70,1,Cloud Egress,300.0,0.6405,0.6405,0,1.0,2105.1,2140.7,0.1853,0.2253,0.631,0.942
70,2,Cross-Region WAN,500.0,1.0018,1.0,1,0.9982,2105.1,2140.7,0.1853,0.2253,0.631,0.942
71,0,Region-A Backhaul,400.0,1.2427,1.0,1,0.8047,2054.5,2151.5,0.2152,0.3244,0.569,1.419
71,1,Cloud Egress,300.0,0.6196,0.6196,0,1.0,2054.5,2151.5,0.2152,0.3244,0.569,1.419
71,2,Cross-Region WAN,500.0,0.5367,0.5367,0,1.0,2054.5,2151.5,0.2152,0.3244,0.569,1.419
72,0,Region-A Backhaul,400.0,1.0539,1.0,1,0.9489,2074.1,2095.7,0.1909,0.2151,0.616,0.804
72,1,Cloud Egress,300.0,0.7031,0.7031,0,1.0,2074.1,2095.7,0.1909,0.2151,0.616,0.804
72,2,Cross-Region WAN,500.0,0.8414,0.8414,0,1.0,2074.1,2095.7,0.1909,0.2151,0.616,0.804
