window,p_rel_none,p_rel_ind,p_rel_burst,failure_state_burst,lat_none_ms,lat_ind_ms,lat_burst_ms,risk_none,risk_ind,risk_burst,sla_viol_none,sla_viol_ind,sla_viol_burst
153,1.0,0.9447,0.9389,0,2124.5,2088.1,2228.9,0.0,0.0553,0.0611,0.0,0.0,0.0
154,1.0,0.937,0.9623,0,2102.7,2148.8,2110.5,0.0,0.063,0.0377,0.0,0.0,0.0
155,1.0,0.9481,0.9483,0,2193.7,2087.1,2039.6,0.0,0.0519,0.0517,0.0,0.0,0.0
156,1.0,0.9387,0.9429,0,2069.6,2296.4,2164.0,0.0,0.0613,0.0571,0.0,0.0,0.0
157,1.0,0.9355,0.9257,0,2173.8,2234.6,2038.6,0.0,0.0645,0.0743,0.0,0.0,0.0
158,1.0,0.9662,0.9252,0,2170.9,2157.9,2279.1,0.0,0.0338,0.0748,0.0,0.0,0.0
159,1.0,0.9519,0.9355,0,2161.2,2202.3,2208.9,0.0,0.0481,0.0645,0.0,0.0,0.0
160,1.0,0.9639,0.9265,0,2141.6,2046.8,1980.6,0.0,0.0361,0.0735,0.0,0.0,0.0
161,1.0,0.9415,0.9377,0,2210.3,2143.6,2176.8,0.0,0.0585,0.0623,0.0,0.0,0.0
162,1.0,0.9706,0.9318,0,2034.7,1913.9,2098.9,0.0,0.0294,0.0682,0.0,0.0,0.0
163,1.0,0.9429,0.943,0,2216.3,2020.8,2049.1,0.0,0.0571,0.057,0.0,0.0,0.0
164,1.0,0.9467,0.9355,0,2018.3,2069.7,2160.0,0.0,0.0533,0.0645,0.0,0.0,0.0
165,1.0,0.9745,0.9363,0,2104.2,1876.4,1972.6,0.0,0.0255,0.0637,0.0,0.0,0.0
166,1.0,0.9636,0.9381,0,2232.8,2133.8,2056.0,0.0,0.0364,0.0619,0.0,0.0,0.0
167,1.0,0.9501,0.9345,0,2112.0,1980.5,2055.9,0.0,0.0499,0.0655,0.0,0.0,0.0
168,1.0,0.9626,0.9346,0,2025.7,2092.5,2034.8,0.0,0.0374,0.0654,0.0,0.0,0.0
169,1.0,0.9716,0.9321,0,2125.7,2162.2,2070.7,0.0,0.0284,0.0679,0.0,0.0,0.0
170,1.0,0.9847,0.9367,0,2154.6,2178.5,2207.6,0.0,0.0153,0.0633,0.0,0.0,0.0
171,1.0,0.9648,0.9412,0,2171.0,1978.3,2083.1,0.0,0.0352,0.0588,0.0,0.0,0.0
172,1.0,0.944,0.9369,0,2115.0,2147.5,2196.3,0.0,0.056,0.0631,0.0,0.0,0.0
173,1.0,0.9748,0.9366,0,2201.5,2209.1,1986.0,0.0,0.0252,0.0634,0.0,0.0,0.0
174,1.0,0.9767,0.9358,0,2054.1,2024.5,2034.5,0.0,0.0233,0.0642,0.0,0.0,0.0
175,1.0,0.942,0.9299,0,2095.1,2000.0,2169.3,0.0,0.058,0.0701,0.0,0.0,0.0
176,1.0,0.9792,0.9302,0,2008.4,2290.5,2079.1,0.0,0.0208,0.0698,0.0,0.0,0.0
177,1.0,0.9579,0.9207,0,2017.9,2163.2,2013.9,0.0,0.0421,0.0793,0.0,0.0,0.0
178,1.0,0.9768,0.931,0,2103.6,2202.2,2064.2,0.0,0.0232,0.069,0.0,0.0,0.0
179,1.0,0.9442,0.9392,0,2180.5,2029.7,2145.4,0.0,0.0558,0.0608,0.0,0.0,0.0
180,1.0,0.95,0.9415,0,2139.9,2068.5,2012.6,0.0,0.05,0.0585,0.0,0.0,0.0
181,1.0,0.9872,0.9436,0,2197.8,2046.2,2015.6,0.0,0.0128,0.0564,0.0,0.0,0.0
182,1.0,0.9695,0.9222,0,1960.7,2014.7,1908.1,0.0,0.0305,0.0778,0.0,0.0,0.0
183,1.0,0.9764,0.9218,0,2141.6,2199.4,2175.9,0.0,0.0236,0.0782,0.0,0.0,0.0
184,1.0,0.9713,0.926,0,1969.8,1991.6,2195.6,0.0,0.0287,0.074,0.0,0.0,0.0
185,1.0,0.9423,0.9337,0,2106.0,2066.1,2032.6,0.0,0.0577,0.0663,0.0,0.0,0.0
186,1.0,0.5582,0.931,0,2235.0,2199.0,2155.4,0.0,0.4418,0.069,0.0,0.0,0.0
187,1.0,0.9785,0.9216,0,2091.8,2120.1,2150.8,0.0,0.0215,0.0784,0.0,0.0,0.0
188,1.0,0.9705,0.9387,0,2231.1,2126.5,2171.3,0.0,0.0295,0.0613,0.0,0.0,0.0
189,1.0,0.9304,0.9355,0,2194.8,1984.2,2196.2,0.0,0.0696,0.0645,0.0,0.0,0.0
190,1.0,0.9352,0.9401,0,2163.2,2146.4,2161.4,0.0,0.0648,0.0599,0.0,0.0,0.0
191,1.0,0.9508,0.9162,0,2043.3,1985.7,2046.6,0.0,0.0492,0.0838,0.0,0.0,0.0
192,1.0,0.9867,0.9283,0,2251.5,2070.3,2188.0,0.0,0.0133,0.0717,0.0,0.0,0.0
193,1.0,0.9595,0.9198,0,2026.8,2161.8,2034.8,0.0,0.0405,0.0802,0.0,0.0,0.0
194,1.0,0.6551,0.9352,0,2134.8,2209.4,2098.6,0.0,0.3449,0.0648,0.0,0.0,0.0
195,1.0,0.9516,0.9279,0,2150.4,2079.1,2041.8,0.0,0.0484,0.0721,0.0,0.0,0.0
196,1.0,0.6827,0.9424,0,2176.6,2074.7,2077.0,0.0,0.3173,0.0576,0.0,0.0,0.0
197,1.0,0.9553,0.9347,0,2193.8,2171.7,2103.9,0.0,0.0447,0.0653,0.0,0.0,0.0
198,1.0,0.9431,0.9278,0,2114.5,2110.8,2139.4,0.0,0.0569,0.0722,0.0,0.0,0.0
199,1.0,0.9807,0.9003,0,2070.3,2195.5,2171.6,0.0,0.0193,0.0997,0.0,0.0,0.0
